Transparent|透明
Shop Sign (Item Shop)|看板（道具屋）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Cafe)|看板（カフェ）
Shop Sign (Inn)|看板（宿屋）
Wood Bridge A (V)|木の橋A（縦）
Wood Bridge A (H, Top)|木の橋A（横・上）
Wood Bridge B (H, Top)|木の橋B（横・上）
Shop Sign (Weapon Shop)|看板（武器屋）
Shop Sign (Armor Shop)|看板（防具屋）
Shop Sign (Weapon & Armor Shop)|看板（武器・防具屋）
Shop Sign (Magic Shop)|看板（魔法屋）
Shop Sign (Accessory Shop)|看板（アクセサリーショップ）
Wood Bridge A (H)|木の橋A（横）
Wood Bridge A (H, Center)|木の橋A（横・中央）
Wood Bridge B (H, Center)|木の橋B（横・中央）
Shop Sign (Coin Shop)|看板（コインショップ）
Shop Sign (Pharmacy)|看板（薬屋）
Shop Sign (Bakery)|看板（パン屋）
Wood Bridge A (V, Left)|木の橋A（縦・左）
Wood Bridge A (V, Center)|木の橋A（縦・中）
Wood Bridge A (V, Right)|木の橋A（縦・右）
Wood Bridge A (H, Bottom)|木の橋A（横・下）
Wood Bridge B (H, Bottom)|木の橋B（横・下）
Shop Sign A|看板A
Shop Sign B|看板B
Shop Sign C|看板C
Wood Bridge B (V, Left)|木の橋B（縦・左）
Wood Bridge B (V, Center)|木の橋B（縦・中）
Wood Bridge B (V, Right)|木の橋B（縦・右）
Wood Bridge B (V, Joint)|木の橋B（縦・継ぎ目）
Wood Bridge B (H, Joint)|木の橋B（横・継ぎ目）
Grass A|草A
Grass B|草B
Grass C|草C
Grass D|草D
Flowers A|花A
Flowers B|花B
Bush|植え込み
Tree|木
Sign A|立て札A
Sign B|立て札B
Stump A|切り株A
Stump B|切り株B
Stump (Axe)|切り株（オノ）
Stump (Firewood)|切り株（薪）
Bush (Flowers)|植え込み（花）
Tree|木
Sign C|立て札C
Sign D|立て札D
Stump C|切り株C
Firewood A|薪A
Firewood B|薪B
Firewood C|薪C
Boulder A|岩A
Boulder B|岩B
Crate A|木箱A
Crate B|木箱B
Crate C|木箱C
Stacked Crates A (Upper left)|積まれた木箱A（左上）
Stacked Crates A (Upper right)|積まれた木箱A（右上）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Barrel A|樽A
Crate D|木箱D
Crate E|木箱E
Crate F|木箱F
Stacked Crates A (Lower left)|積まれた木箱A（左下）
Stacked Crates A (Lower right)|積まれた木箱A（右下）
Stacked Crates B|積まれた木箱B
Stacked Crates B|積まれた木箱B
Barrel B|樽B
Basin A|桶A
Basin B|桶B
Basin C|桶C
Planter A|プランターA
Planter B|プランターB
Planter C|プランターC
Planter D|プランターD
Basket A|カゴA
Tub A|たらいA
Tub B|たらいB
Tub C|たらいC
Flower Pot A|植木鉢A
Flower Pot B|植木鉢B
Planter E|プランターE
Planter F|プランターF
Basket B|カゴB
Logs (H)|丸太（横）
Logs (H)|丸太（横）
